id,hit count,url or alias text,source,name,tags,publisher,referring record id,authors,plain text,type,date of publication,top referrals,
2.68071E+17,null,https://twitter.com/EllenBarryNYT/status/268070704392593408,ellenbarrynyt,null,,null,,null,Is it better to be a Jew in Moscow than Boston? Jerusalem Post on Russia's new Jewish Museum.  http://t.co/UQoaVxvO,twitter,2012-11-12,null,null
2.65639E+17,null,https://twitter.com/dfroms/status/265638718336036864,dfroms,null,,null,,null,#dcbrews beer geek news courtesy of Greg Engert: new NRG fried chicken restau will have De la Senne at all times and dedicated sour line,twitter,2012-11-06,null,null
2.50333E+17,null,https://twitter.com/michaelroston/status/250333356418551809,michaelroston,null,,null,,null,Interesting RT @zerohedge: Jerusalem Post's person of the year is Egyptian president Mohamed Morsi   http://t.co/TcVS7d0c,twitter,2012-09-24,null,null
2.35715E+17,null,https://twitter.com/MujMash/status/235714689781334017,mujmash,null,,null,,null,"Israel &amp; South Sudan sign water agreement. Next? ""..county transfer its oil to Israeli facilities."" JPost -  http://t.co/kI7Vwvwp",twitter,2012-08-15,null,null
2.29163E+17,null,https://twitter.com/TheSteinLine/status/229163112224415744,thesteinline,null,,null,,null,RT @AllonSinai: Ram and Erlich with @DjokerNole at Wimbledon ahead of start of Olympic tournament on Saturday #jpost -  http://t.co/jqCeNRO9,twitter,2012-07-28,null,null
2.27154E+17,null,https://twitter.com/m_delamerced/status/227154389624840194,m_delamerced,null,,null,,null,Hey it's one of those occasional Sunday deal announcements. NRG is buying Genon for $1.7bn.  http://t.co/w8btBIef $nrg $gen,twitter,2012-07-22,null,null
2.17962E+17,null,https://twitter.com/TheSteinLine/status/217961986238070785,thesteinline,null,,null,,null,RT @AllonSinai: Ram and Erlich advance to #Wimbledon second round with 9-7 win in fifth set over Huey and Inglot. #jpost (I'LL TAKE IT),twitter,2012-06-27,null,null
1.88011E+17,null,https://twitter.com/TheSteinLine/status/188010792447258624,thesteinline,null,,null,,null,RT @AllonSinai: Pana 86 Maccabi 85. Amazing series ends in heartbreak for Tel Aviv. #euroleague #jpost,twitter,2012-04-05,null,null
1.77841E+17,null,https://twitter.com/benyt/status/177840862288547840,benyt,null,,null,,null,"JPost Purim spoof: ""PM may delay Iran strike so Sara can see Madonna""  http://t.co/BUnMABX5",twitter,2012-03-08,null,null
1.7505E+17,null,https://twitter.com/benyt/status/175050150266404864,benyt,null,,null,,null,@RJCHQ @Jbroks86 The JPost is a credible source no?,twitter,2012-03-01,null,null
1.75044E+17,null,https://twitter.com/benyt/status/175044050607554560,benyt,null,,null,,null,@RJCHQ That guy had no actual methodological criticism aside from the JPost's notorious leftist slant (!). Not convincing.,twitter,2012-03-01,null,null
1.65056E+17,null,https://twitter.com/ronlieber/status/165055705156554752,ronlieber,null,,null,,null,@YahooCare Mail search broken. Again. Feel abused. U know that I know that we don't have time/nrg to switch to gmail. & so this continues...,twitter,2012-02-02,null,null
1.60009E+17,null,https://twitter.com/DanBilefsky/status/160009176150581248,danbilefsky,null,,null,,null,Netanyahu denies telling the editor of the Jerusalem Post that the two greatest enemies facing Israel are The New York Times and Haaretz.,twitter,2012-01-19,null,null
