UniqueID,Source,RSS feed URLs (where available),Type,Tags,Location,Associated Twitter Handle,Name,Text aliases,Associated Publisher
232,@Resistance48,,Twitter Handle,Twitter Journalists,USA,,Abbas Hamideh,"""Abbas Hamideh""",
233,@Resistance1948,,Twitter Handle,Twitter Journalists,,,G.C.P.P.P.,"""G.C.P.P.P.""",
234,@asadabukhalil,,Twitter Handle,Twitter Journalists,USA,,asad abukhalil أسعد أبو خليل,"""asad abukhalil""",
235,@stewardmagazine,,Twitter Handle,Twitter Journalists,USA,,John B. Driscoll,"""John B. Driscoll""",
236,@aysen_candas,,Twitter Handle,Twitter Journalists,USA,,Aysen Candas,"""Aysen Candas""",
237,@AussieYazz,,Twitter Handle,Twitter Journalists,Australia,,Yazz,"""Yazz""",
238,@rheytah,,Twitter Handle,Twitter Journalists,Canada,,Rita Rosenfeld,"""Rita Rosenfeld""",
239,@Anaminona,,Twitter Handle,Twitter Journalists,Europe and the Middle East,,Anaminona,"""Anaminona""",
240,@JComm_NewsFeeds,,Twitter Handle,Twitter Journalists,Germany,,Jewish Community,"""Jewish Community""",
241,@Hadassah,,Twitter Handle,Twitter Journalists,USA,,Hadassah,"""Hadassah""",
242,@rooster613,,Twitter Handle,Twitter Journalists,USA,,Rabbi Yonassan Gershom - Autistic Stable Genius ,"""Rabbi Yonassan Gershom - Autistic Stable Genius """,
243,@weedouthate,,Twitter Handle,Twitter Journalists,USA,,"Don't get mad, get swag! ","""Don't get mad, get swag! """,
244,@HalawaMark,,Twitter Handle,Twitter Journalists,,,Mark Halawa - مارك حلاوه,"""Mark Halawa""",
245,@IsraelinEU,,Twitter Handle,Twitter Journalists,Belgium,,Israel in the EU,"""Israel in the EU""",
246,@tbex,,Twitter Handle,Twitter Journalists,Israel,,Rebecca Geller,"""Rebecca Geller""",
247,@oupanxumalo,,Twitter Handle,Twitter Journalists,Swaziland,,OUPA NXUMALO,"""OUPA NXUMALO""",
248,@PeterTBD,,Twitter Handle,Twitter Journalists,Netherlands ,,Peter RA♥Palestina,"""Peter RA♥Palestina""",
249,@prclondon,,Twitter Handle,Twitter Journalists,England,,Palest Return Centre,"""Palest Return Centre""",
250,@PalfromGaza,,Twitter Handle,Twitter Journalists,,,The Times Of Gaza,"""The Times Of Gaza""",
251,@Reem_Gaza96,,Twitter Handle,Twitter Journalists,Palestine,,RêĘm Ăl-Ħāddåđ,"""RêĘm Ăl-Ħāddåđ""",
252,@farah_nabulsi,,Twitter Handle,Twitter Journalists,,,Farah Nabulsi,"""Farah Nabulsi""",
253,@FluorescentGrey,,Twitter Handle,Twitter Journalists,USA,,Morph,"""Morph""",
254,@MariamA73000734,,Twitter Handle,Twitter Journalists,Palestine,,Mariam Ali,"""Mariam Ali""",
255,@Hudahatabb,,Twitter Handle,Twitter Journalists,Palestine,,Huda Ameen Abu Hatab,"""Huda Ameen Abu Hatab""",
256,@End_TheFederalR,,Twitter Handle,Twitter Journalists,,,ƖԼԼƲMƖƝƛƬƖ ƘƖԼԼЄƦ,"""ƖԼԼƲMƖƝƛƬƖ ƘƖԼԼЄƦ""",
257,@soitiz,,Twitter Handle,Twitter Journalists,England,,al whit,"""al whit""",
258,@mbakunin88,,Twitter Handle,Twitter Journalists,Canada,,Tadhg O Caoimh,"""Tadhg O Caoimh""",
259,@PhotoshopTruth,,Twitter Handle,Twitter Journalists,,,Joseph Shellim,"""Joseph Shellim""",
260,@bargyle1997,,Twitter Handle,Twitter Journalists,,,E,"""E""",
261,@alaqsa81090,,Twitter Handle,Twitter Journalists,Palestine,,alaqsa81090,"""alaqsa81090""",
262,@Ironyisfunny8,,Twitter Handle,Twitter Journalists,,,Magnificent,"""Magnificent""",
263,@BMoon_bee,,Twitter Handle,Twitter Journalists,France,,moonbee,"""moonbee""",
264,@StevePieczenik,,Twitter Handle,Twitter Journalists,,,Steve Pieczenik,"""Steve Pieczenik""",
265,@SoniaKatiMota,,Twitter Handle,Twitter Journalists,,,Sonia Mota,"""Sonia Mota""",
266,@johndotbastable,,Twitter Handle,Twitter Journalists,,,Smile and nod politely,"""Smile and nod politely""",
267,@WhistleIRL,,Twitter Handle,Twitter Journalists,,,Jonathan Sugarman,"""Jonathan Sugarman""",
268,@EWilf,,Twitter Handle,Twitter Journalists,Israel,,Dr. Einat Wilf,"""Dr. Einat Wilf""",
269,@walid970721,,Twitter Handle,Twitter Journalists,,,Walid,"""Walid""",
270,@Abukar_Arman,,Twitter Handle,Twitter Journalists,,,Abukar Arman,"""Abukar Arman""",
271,@DanielHood1978,,Twitter Handle,Twitter Journalists,Israel,,Daniel Hood,"""Daniel Hood""",
272,@kishkushkay,,Twitter Handle,Twitter Journalists,Israel,,Kay Wilson,"""Kay Wilson""",
273,@Roni4488,,Twitter Handle,Twitter Journalists,,,Roni,"""Roni""",
274,@james_anderssen,,Twitter Handle,Twitter Journalists,,,((( james ))),"""james""",
275,@sadcjp,,Twitter Handle,Twitter Journalists,,,Chai5🇿,"""Chai5🇿""",
276,@jerusalemofiron,,Twitter Handle,Twitter Journalists,,,Jerusalem of Iron,"""Jerusalem of Iron""",
277,@Ojdadana,,Twitter Handle,Twitter Journalists,Poland,,Janina,"""Janina""",
278,@nadplo,,Twitter Handle,Twitter Journalists,Palestine,,Palestine PLO-NAD,"""Palestine PLO-NAD""",
279,@Adelirose,,Twitter Handle,Twitter Journalists,,,ISRAEL,"""ISRAEL""",
280,@178_lishf,,Twitter Handle,Twitter Journalists,,,Manga Warrior,"""Manga Warrior""",
281,@PalestinePR,,Twitter Handle,Twitter Journalists,,,Suzy S,"""Suzy S""",
282,@JakubKumoch,,Twitter Handle,Twitter Journalists,Switzerland,,Jakub Kumoch ,"""Jakub Kumoch """,
283,@PattiaGarder,,Twitter Handle,Twitter Journalists,USA,,ᴘᴀᴛᴛɪᴇ ɢᴀʀᴅɴᴇʀ,"""ᴘᴀᴛᴛɪᴇ ɢᴀʀᴅɴᴇʀ""",
284,@A_Rockas,,Twitter Handle,Twitter Journalists,,,Angelique Rockas ,"""Angelique Rockas """,
285,@AndrzejBiesz,,Twitter Handle,Twitter Journalists,Poland,,Andrzej,"""Andrzej""",
286,@AshyK88,,Twitter Handle,Twitter Journalists,Pakistan,,Aisha,"""Aisha""",
287,@JoopSoesan,,Twitter Handle,Twitter Journalists,Israel,,Joop Soesan,"""Joop Soesan""",
288,@TheJeremyMan,,Twitter Handle,Twitter Journalists,Israel,,Jeremy Man Saltan,"""Jeremy Man Saltan""",
289,@mdubowitz,,Twitter Handle,Twitter Journalists,USA,,Mark Dubowit,"""Mark Dubowit""",
290,@zionistpugs,,Twitter Handle,Twitter Journalists,USA,,Zionist Pugs,"""Zionist Pugs""",
291,@GalitPeleg,,Twitter Handle,Twitter Journalists,USA,,Galit Peleg,"""Galit Peleg""",
292,@ShaharAzani,,Twitter Handle,Twitter Journalists,USA,,Shahar Azani,"""Shahar Azani""",
293,@RozRothstein,,Twitter Handle,Twitter Journalists,,,Roz Rothstein,"""Roz Rothstein""",
294,@EstherMendel,,Twitter Handle,Twitter Journalists,,,Esther Mendelsohn,"""Esther Mendelsohn""",
295,@ChabadLubavitch,,Twitter Handle,Twitter Journalists,USA,,Yaacov Behrman,"""Yaacov Behrman""",
296,@Zimmlaw175,,Twitter Handle,Twitter Journalists,USA,,Jeffrey Zimmerman,"""Jeffrey Zimmerman""",
297,@lackboys3,,Twitter Handle,Twitter Journalists,USA,,Adina🇿,"""Adina🇿""",
298,@EvaAdva,,Twitter Handle,Twitter Journalists,,,Eva kicks ass,"""Eva kicks ass""",
299,@RupertBayldon,,Twitter Handle,Twitter Journalists,UK,,@RupertBayldon / #RoopaTroopa,"""RupertBayldon""",
300,@dubengeldu,,Twitter Handle,Twitter Journalists,,,BabyAWACS KISS Chris,"""BabyAWACS KISS Chris""",
301,@miriwood,,Twitter Handle,Twitter Journalists,,,miri wood,"""miri wood""",
302,@StZaryn,,Twitter Handle,Twitter Journalists,,,Stanisław Żaryn,"""Stanisław Żaryn""",
303,@MargieInTelAviv,,Twitter Handle,Twitter Journalists,,,Margie,"""Margie""",
304,@Marc_Leibowitz,,Twitter Handle,Twitter Journalists,USA/Israel,,Marc Leibowitz,"""Marc Leibowitz""",
305,@mutludc,,Twitter Handle,Twitter Journalists,Turkey/USA/Syria/,,Mutlu Civiroglu,"""Mutlu Civiroglu""",
306,@normansolomon,,Twitter Handle,Twitter Journalists,USA,,Norman Solomon,"""Norman Solomon""",
307,@GalipDalay,,Twitter Handle,Twitter Journalists,,,Galip Dalay,"""Galip Dalay""",
308,@jworldwatch,,Twitter Handle,Twitter Journalists,USA,,Jewish World Watch,"""Jewish World Watch""",
309,@DaliaFFahmy,,Twitter Handle,Twitter Journalists,USA,,Dalia Fahmy,"""Dalia Fahmy""",
310,@barahmikail,,Twitter Handle,Twitter Journalists,Spain,,Barah Mikail,"""Barah Mikail""",
311,@Bengegenislam,,Twitter Handle,Twitter Journalists,USA,,Ben the Man,"""Ben the Man""",
312,@joshua_landis,,Twitter Handle,Twitter Journalists,USA,,Joshua Landis,"""Joshua Landis""",
313,@KyleWOrton,,Twitter Handle,Twitter Journalists,UK,,Kyle Orton,"""Kyle Orton""",
314,@zarakayk,,Twitter Handle,Twitter Journalists,UK,,Zara Kay,"""Zara Kay""",
315,@JewishLabour,,Twitter Handle,Twitter Journalists,UK,,Jewish Labour Movement,"""Jewish Labour Movement""",
316,@CAMERAorg,,Twitter Handle,Twitter Journalists,USA/Israel,,CAMERAorg,"""CAMERAorg""",
317,@TamarSternthal,,Twitter Handle,Twitter Journalists,Israel,,Tamar Sternthal,"""Tamar Sternthal""",
318,@UKMediaWatch,,Twitter Handle,Twitter Journalists,UK,,UK Media Watch,"""UK Media Watch""",
319,@adamlevick,,Twitter Handle,Twitter Journalists,Israel,,Adam Levick,"""Adam Levick""",
320,@GileadIni,,Twitter Handle,Twitter Journalists,USA,,Gilead Ini,"""Gilead Ini""",
321,@HindMakki,,Twitter Handle,Twitter Journalists,,,Hind Makki,"""Hind Makki""",
322,@davidhazony,,Twitter Handle,Twitter Journalists,Israel,,David Hazony,"""David Hazony""",
323,@neohasid,,Twitter Handle,Twitter Journalists,USA,,R' David Seidenberg,"""R' David Seidenberg""",
324,@4ILorg,,Twitter Handle,Twitter Journalists,Israel,,4IL,"""4IL""",
325,@LoveoftheLand,,Twitter Handle,Twitter Journalists,Israel,,Yosef Hartuv,"""Yosef Hartuv""",
326,@haivri,,Twitter Handle,Twitter Journalists,Israel,,David Ha'ivri ,"""David Ha'ivri """,
327,@RationalSettler,,Twitter Handle,Twitter Journalists,Israel,,Uri Pilichowski,"""Uri Pilichowski""",
328,@no2bds,,Twitter Handle,Twitter Journalists,Israel,,No2BDS,"""No2BDS""",
329,@MegTaverner,,Twitter Handle,Twitter Journalists,Canada,,MegTaverner,"""MegTaverner""",
330,@bnaibrithcanada,,Twitter Handle,Twitter Journalists,Canada,,B'nai Brith Canada,"""B'nai Brith Canada""",
331,@Ali_Mustafa,,Twitter Handle,Twitter Journalists,Canada,,Ali Mustafa,"""Ali Mustafa""",
332,@daverich1,,Twitter Handle,Twitter Journalists,,,Dave Rich,"""Dave Rich""",
333,@TechInIsrael,,Twitter Handle,Twitter Journalists,Israel,,TechInIsrael,"""TechInIsrael""",
334,@GerAmbTLV,,Twitter Handle,Twitter Journalists,Israel,,Susanne.Wasum-Rainer,"""Susanne.Wasum-Rainer""",
335,@YASHebron,,Twitter Handle,Twitter Journalists,Palestine,,YouthAgainstSettlmnt,"""YouthAgainstSettlmnt""",
336,@adamfriedland1,,Twitter Handle,Twitter Journalists,US,,Adam Friedland,"""Adam Friedland""",
337,@Elizrael,,Twitter Handle,Twitter Journalists,USA ,,Elizabeth Tsurkov ,"""Elizabeth Tsurkov """,
338,@972mag,,Twitter Handle,Israeli|English|Critical|Current-Affairs,Israel,,972mag,,
